id,title,rating,date,MPA_rating
A430,"431. Transformers: Dark of the Moon",6.2,"2011",PG-13
A431,"432. Vertigo",8.3,"1958",PG
A432,"433. The Mask",7.0,"1994",PG-13
A433,"434. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,"2005",PG
A434,"435. Despicable Me 2",7.3,"2013",PG
A435,"436. The Equalizer",7.3,"2014",R
A436,"437. Midsommar",7.1,"2019",R
A437,"438. Transformers: Revenge of the Fallen",6.0,"2009",PG-13
A438,"439. The Menu",7.2,"2022",R
A439,"440. The Godfather Part III",7.6,"1990",R
A440,"441. Black Hawk Down",7.7,"2001",R
A441,"442. Spider-Man: Across the Spider-Verse",8.5,"2023",PG
A442,"443. The Fast and the Furious",6.8,"2001",PG-13
A443,"444. A Star Is Born",7.6,"2018",R
A444,"445. Cloverfield",7.0,"2008",PG-13
A445,"446. Easy A",7.0,"2010",PG-13
A446,"447. The Suicide Squad",7.2,"2021",R
A447,"448. Live Free or Die Hard",7.1,"2007",PG-13
A448,"449. Monty Python's Life of Brian",8.0,"1979",R
A449,"450. The Town",7.5,"2010",R
A450,"451. The Gentlemen",7.8,"2019",R
A451,"452. Terminator 3: Rise of the Machines",6.3,"2003",R
A452,"453. The Machinist",7.6,"2004",R
A453,"454. Fast & Furious 6",7.0,"2013",PG-13
A454,"455. Home Alone 2: Lost in New York",6.9,"1992",PG
A455,"456. Dumb and Dumber",7.3,"1994",PG-13
A456,"457. Thor: Love and Thunder",6.2,"2022",PG-13
A457,"458. Furious 7",7.1,"2015",PG-13
A458,"459. The Lives of Others",8.4,"2006",R
A459,"460. Ocean's Twelve",6.5,"2004",PG-13
A460,"461. Mission: Impossible - Rogue Nation",7.4,"2015",PG-13
A461,"462. 22 Jump Street",7.0,"2014",R
A462,"463. Die Hard with a Vengeance",7.6,"1995",R
A463,"464. Wanted",6.7,"2008",R
A464,"465. The Devil's Advocate",7.5,"1997",R
A465,"466. Fast Five",7.3,"2011",PG-13
A466,"467. Batman",7.5,"1989",PG-13
A467,"468. Guardians of the Galaxy Vol. 3",7.9,"2023",PG-13
A468,"469. Men in Black II",6.2,"2002",PG-13
A469,"470. The Fault in Our Stars",7.6,"2014",PG-13
A470,"471. Scream",7.4,"1996",R
A471,"472. Face/Off",7.3,"1997",R
A472,"473. 127 Hours",7.5,"2010",R
A473,"474. Hereditary",7.3,"2018",R
A474,"475. 10 Things I Hate About You",7.3,"1999",PG-13
A475,"476. Maleficent",6.9,"2014",PG
A476,"477. Inside Man",7.6,"2006",R
A477,"478. 2012",5.8,"2009",PG-13
A478,"479. Moana",7.6,"2016",PG
A479,"480. About Time",7.8,"2013",R
A480,"481. The Others",7.6,"2001",PG-13
A481,"482. Friends with Benefits",6.5,"2011",R
A482,"483. Monsters University",7.2,"2013",G
A483,"484. Speed",7.3,"1994",R
A484,"485. Bird Box",6.6,"2018",R
A485,"486. Eternals",6.3,"2021",PG-13
A486,"487. Snowpiercer",7.1,"2013",R
A487,"488. Soul",8.0,"2020",PG
A488,"489. Mission: Impossible III",6.9,"2006",PG-13
A489,"490. Mulholland Drive",7.9,"2001",R
A490,"491. My Neighbor Totoro",8.1,"1988",G
A491,"492. Man on Fire",7.7,"2004",R
A492,"493. Ferris Bueller's Day Off",7.8,"1986",PG-13
A493,"494. Beetlejuice",7.5,"1988",PG
A494,"495. Signs",6.8,"2002",PG-13
A495,"496. The Lego Movie",7.7,"2014",PG
A496,"497. Men in Black³",6.8,"2012",PG-13
A497,"498. Brokeback Mountain",7.7,"2005",R
A498,"499. The Fighter",7.8,"2010",R
A499,"500. Shazam!",7.0,"2019",PG-13
A500,"501. The Italian Job",7.0,"2003",PG-13
A501,"502. Sleepy Hollow",7.3,"1999",R
A502,"503. Sweeney Todd: The Demon Barber of Fleet Street",7.3,"2007",R
A503,"504. The Illusionist",7.5,"2006",PG-13
A504,"505. Die Hard 2",7.1,"1990",R
A505,"506. 50 First Dates",6.8,"2004",PG-13
A506,"507. Eyes Wide Shut",7.5,"1999",TV-MA
A507,"508. The Nightmare Before Christmas",7.9,"1993",PG
A508,"509. The Aviator",7.5,"2004",PG-13
A509,"510. Yes Man",6.8,"2008",PG-13
A510,"511. Raging Bull",8.1,"1980",R
A511,"512. Jumanji",7.1,"1995",PG
A512,"513. Once Upon a Time in America",8.3,"1984",R
A513,"514. Knocked Up",6.9,"2007",R
A514,"515. Mission: Impossible - Fallout",7.7,"2018",PG-13
